Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advanced Android Espresso Testing,"Take an in-depth look at using the Android Espresso library to write Android UI tests. In this course, Chiu-Ki Chan tackles advanced topics in Android Espresso testing, including intents, hermetic test environment, and IdlingResource. She covers incoming and outgoing intents, dependency injection, Mockito and Dagger, and more. If you're an Android developer interested in implementing automated testing as part of the development lifecycle, this course can help to equip you with the techniques you need to write repeatable UI tests.",Course,2020-03-30 07:43 UTC,N/A,false,N/A,
Sales: Closing a Complex Sale,"Complex sales have multiple influencers and stakeholders, and sometimes face multiple competitors. There are a lot of factors for the buyer to juggle. This complexity can lead to lost revenue, longer sales cycles, and unpredictable outcomes. By understanding the buyer's problem and simplifying the value of your solution, you will be better positioned to close the deal. Watch this course with sales coach Jeff Bloomfield to find out how to systematically navigate the process of a complex sale, and receive the tactics and tools to increase your likelihood of sales success. Learn how to understand your buyers by examining their journey in a new way, and discover how to clearly articulate and defend the unique value of your product.",Course,2019-04-01 08:34 UTC,N/A,false,N/A,
Project Management Foundations: Ethics (2019),"Your overall success as a project manager depends upon your ability to identify and manage ethical issues. Ethical behavior is also a requirement for good standing with the Project Management Institute (PMI). To boost your reputation and increase project participation and success, you need to learn how to conduct your project in an ethical way and solve any complications that may arise—due to conflicts of interest, business pressure, or even fear of failure. Join PMP Bob McGannon in this course, as he examines the core values of ethical projects and the different ethical standards that can be applied to project management. Bob also shows how to develop and apply a framework for ethical decision-making that balances your organization’s unique cultural expectations with your own personal standards.",Course,2023-09-04 11:50 UTC,N/A,false,N/A,
Excel Data Visualization: Designing Custom Visualizations,"Interested in using more than the built-in chart and graph tools to showcase your data in Excel? In this course—the second and final installment in the <i>Excel Data Visualization</i> series—instructor Chris Dutton steps through how to create unique, custom data visualizations in Excel. Since Chris covered the core data visualization capabilities of Excel in the previous installment of the series, he dives into some more sophisticated techniques here. As he moves through a series of hands-on demos, Chris covers everything from building dynamic dashboards to advanced maneuvers like value-based formatting and dynamic series selection.",Course,2019-01-03 11:42 UTC,N/A,false,N/A,
Advanced QGIS Analysis with AI and Machine Learning,"In this course, Gordon Luckett—President of Arrow Geomatics, Inc.—guides you through the advanced GIS Analysis tools available in QGIS, as well as some advanced plug-ins that use AI to manage and interpret Air Photographs. Learn how to analyze vector data, manipulate raster data, and digitize vector data with AI. Find out how to generate new data with raster calculations, build topology models for networks, and manage raster-to-vector conversions. Plus, explore ways to automate processes and animate 3D models.",Course,2024-09-20 08:22 UTC,N/A,false,N/A,
100 Courses and Counting: David Rivers on Elearning,"David Rivers has been recording elearning courses for lynda.com for over a decade. He's one of our star authors! In this interview (conducted from his home recording studio in Canada), he offers lessons from his 100-course journey with lynda.com. David shares his process for creating and recording course content, and provides inspiration for other authors who want to turn their knowledge into tutorials for the emerging elearning market.",Course,2021-05-27 06:42 UTC,N/A,false,N/A,
Python: Design Patterns (2015),"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2020-03-23 14:37 UTC,N/A,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,N/A,N/A,true,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2021-12-15 07:32 UTC,N/A,false,N/A,
DevOps Foundations: Lean and Agile (2017),"By applying lean and agile principles, engineering teams can deliver better systems and better business outcomes—both of which are crucial to the success of DevOps. In this course, instructors Ernest Mueller and Karthik Gaekwad discuss the theories, techniques, and benefits of agile and lean. Learn how they can be applied to operations teams to create a more effective flow from development into operations and accelerate your path of ""concept to cash."" In addition to key concepts, you can hear in-the-trenches examples of implementing lean and agile in real-world software organizations.",Course,2018-12-17 09:35 UTC,N/A,false,N/A,
NumPy Essential Training: 1 Foundations of NumPy,"NumPy provides Python with an elegant syntax and powerful array processing library.  NumPy is the most useful and most powerful library in Python when it comes to data science and machine learning. In this course, Terezija Semenski introduces the NumPy data structure for n-dimensional arrays, then continues by showing functions for creating and manipulating arrays, including indexing and slicing for extracting elements from arrays. She also details how to find unique elements and reverse an array, and describes functions and operators for performing computations with ndarray objects and functions for math and statistics.",Course,2024-12-16 07:17 UTC,N/A,false,N/A,
"Icebreakers for Teams, Meetings, and Groups","An icebreaker is an activity, game, or experience designed to create conversation and promote connection among participants. Join instructors Daisy Lovelace and Carolyn Goerner for an exploration of how to successfully use icebreaker activities to help strengthen teams, stimulate creative thinking, and help teams move forward after conflict. Discover the psychology behind how and why icebreakers work. Find out how to choose the right icebreaker for different group types and sizes. Examine different icebreakers designed to get an event started, connect new team members, and bolster connections among existing team members. Plus, learn how to facilitate icebreaker exercises to get the most benefit.",Course,2022-06-30 06:28 UTC,N/A,false,N/A,
Holding Yourself Accountable (2017),"Being accountable is more than just being responsible for something—it's also, ultimately being answerable for your actions. To hold yourself accountable, you must find the motivation to do difficult things. You need to amplify the urgency of your mission, know why it matters, and understand how taking responsibility helps you become the kind of person you want to be. In this course, personal branding expert Dorie Clark helps you adopt the accountability mindset. Dorie outlines specific, practical steps you can take to implement accountability.",Course,2020-03-05 08:48 UTC,N/A,false,N/A,
Programming Foundations: Programming for Kids,"Kids are naturally excited about building, whether it's building blocks or building rockets. Programming can be just as much fun. And the skills kids gain programming can help them feel accomplished, while giving them a head start in our fast-paced digital world. This course is designed to help parents and educators introduce programming concepts to kids of all ages, from grammar school to high school. David Gassner starts with a description of different learning styles (auditory, kinesthetic, or visual) and talks about how kids' programming tools appeal to different styles. He then introduces mobile device apps for young programmers that let them animate graphical images using simple block-based programming. For older kids, he introduces software such as Scratch for more advanced animation, MIT App Inventor for programming real Android apps, and tools that teach core languages like JavaScript and Java. The final chapter covers how kids can work with robots and other hardware like the Raspberry Pi, which show how programming can work in the real world.",Course,2018-07-26 09:47 UTC,N/A,false,N/A,
Operating System Forensics,"Criminals rely on the intricacies of operating systems like Windows, macOS, and Linux to conceal their activities and hide data. However, a skilled digital forensics expert knows the places to look and the tools to use to access evidence of their crimes. This course covers all the major concepts and tools of the growing field of operating system forensics. Instructor Jungwoo Ryoo (J.R.) reviews the fundamentals: the goals, history, and roles of operating system forensics and the future of the industry. He then shows how to acquire evidence from file systems, slack space, alternate data streams, and main memory. Jungwoo uses a combination of free and commercial software, so you can practice techniques like file recovery and live acquisition with the tools that are within your budget.",Course,2024-11-30 12:06 UTC,N/A,false,N/A,
GenAI Foundations in Java Development,"Harness the power of ChatGPT to supercharge your Java coding skills with the finesse of a master coder. In this course, mathematician and software developer Terezija Semenski shows you how to bring the finesse of a master coder to your generative AI endeavors. Get a step-by-step guide on using ChatGPT for Java development. Find out how to accelerate your coding journey with ChatGPT and go over the benefits and limitations of using AI. Learn how to write your first app, troubleshoot it, and use it in IntelliJ IDE. Go beyond basic coding and explore ways to use AI to follow clean code principles, craft test cases, and generate UML and sequence diagrams. Plus, get ready for your next interview as you incorporate ChatGPT into mock interviews and writing a compelling resume. This course is packed with example prompts that you can copy, paste, and use to easily follow along.",Course,2024-09-11 15:06 UTC,N/A,false,N/A,
Nano Tips for Answering Common Interview Questions with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for answering common interview questions more effectively and authentically to help you land a new role or change your career. Follow along with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker, Tiffany Uman.</p><p>Unlock the secret methods of a successful interviewee to find out what sets them apart. Learn how to harness your weaknesses as a source of power, explain gaps and resignations, avoid common mistakes, and calm your nerves. Along the way, Tiffany also gives you pointers on tackling notoriously difficult questions that probe your skills and capacities as a problem solver on the spot. By the end of this course, you’ll be ready to start answering—and asking—your next interview questions like a pro, so you land more job offers with ease and confidence.</p>",Course,2023-10-19 05:38 UTC,N/A,false,N/A,
RubberHose Animation with After Effects,"RubberHose, a rigging script for Adobe After Effects, makes it easy to animate characters that are packed with personality. In this course, instructor Angie Taylor shares what you need to know to get up and running with this powerful software. Angie kicks off the course by explaining how to create a RubberHose arm and style it with shape layer operators. She then moves on to discuss how to create legs with RubberRig and RubberPin, as well as how to construct an easy walk cycle with RubberHose and the Motion Sketch tool in After Effects. She wraps up by detailing how to fine-tune your character animation and place a character into an animated scene.",Course,2021-03-23 10:11 UTC,N/A,false,N/A,
"Everyday Statistics, with Eddie Davila","Statistics help us make sense of the world around us. These numbers help everyone from political pollsters to fantasy football aficionados make informed calls based on the mountains of data at their disposal. In this weekly series, learn how to decode the statistics that pop up on a daily basis. Eddie Davila explores a new eclectic, real-world topic each week. Learn how stats are used to find the average score on a test, how casinos use stats to ensure that the house will usually win, and more.",Course,2024-04-07 10:26 UTC,N/A,false,N/A,
Learning Data Analytics: 1 Foundations,"<p>Are you interested in pursuing a career in data analytics? In this course, instructor Robin Hunt brings you into the mind of an analyst. She defines and explains foundational concepts, such as how to think about data, how to work with others in different roles to get the data you need, and the tools you need to work with data, such as Excel and Microsoft Access. She introduces you to SQL queries, PowerBI, and more. Robin goes into syntax and explains how to interpret the data you see, find the data you need, and clean the data for effective data work. She explains data governance and how to ask the right questions of different departments to gather the data you need. Robin shows how to work with data, including how to import data, work with flat files such as CSVs, and create datasets for others. Robin goes into what cleaning and modeling mean, as well as how to use Power Query in Excel. She has also added challenge/solution sets in each chapter to help you evaluate your skills. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,N/A,N/A,true,N/A,
How to Speak So People Want to Listen,"Do you want to be an engaging speaker? In this audio-only course from How to Be Awesome at Your Job, international speaker Julian Treasure shares tactics and techniques that improve how you communicate. Julian stresses the importance of learning how to listen first. Understanding how your audience listens will improve your speaking. Julian shows you words to avoid and roadblocks to work around. If you’re more concerned about looking good or being right than you are about giving value to your audience, then your presentation won’t have any impact. Julian shows you ways to vary how you speak to keep your voice engaging. Change up your pace, tone, pitch, and volume to make your speaking more dynamic. You can also resonate your voice from your chest to sound more authoritative. Julian encourages you to keep your posture straight for more powerful speaking. Hunching prevents you from using your voice at its best. Julian concludes with the four C’s of good listening.     
<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022-08-23 06:24 UTC,N/A,false,N/A,
Fighting Gender Bias at Work,"Gender bias is holding women back in the workplace. Whether deliberate or unconscious, bias makes it harder for women to get hired and promoted and negatively impacts their day-to-day work experiences. Created by LeanIn.Org, this short video series—one introductory video and six two-to-three-minute videos—is designed to provide an understanding of how gender bias impacts women’s and men’s experiences at work. These videos cover the five most common types of biases women face and address the concept of intersectionality. The videos can be watched individually or paired with a card-based activity that brings people together to have meaningful discussions about gender bias. For additional resources on combating gender bias in the workplace, visit <a href=""https://leanin.org/50-ways-to-fight-gender-bias/"" target=""_blank"">leanin.org/50ways</a>.",Course,2022-03-08 15:59 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2020-05-25 08:16 UTC,N/A,false,N/A,
How to Get Started on Tasks You're Avoiding,"There may be times in your career when you avoid certain tasks, due to a variety of reasons. This course, taught by Ali Schiller, provides the tools and techniques to overcome task avoidance and get started on daunting tasks. Assess your energy blocks and understand the psychological factors behind procrastination. Create a personal action plan tailored to your specific needs. After this course, you'll be equipped to overcome procrastination and boost your productivity.",Course,2025-01-29 08:15 UTC,N/A,false,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-10-02 11:40 UTC,N/A,false,N/A,
Visual Studio Developer Tips,"Discover tips and techniques that can make working in Microsoft Visual Studio simpler, faster, and more interesting. In this series, Walt Ritscher shines a spotlight on helpful shortcuts for Visual Studio. He dives into a variety of topics, including code programming tips, keyboard secrets, application development suggestions, and more.",Course,2019-01-12 09:02 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2021-11-27 07:39 UTC,N/A,false,N/A,
Objectified,"On an average day, each of us uses hundreds of objects. (Don't believe it? Start counting: alarm clock, light switch, faucet, shampoo bottle, toothbrush, razor…) But who makes all these things, and why do they look and feel the way they do? How can good design make objects, and our lives, better?<br><br>

<em>Objectified</em> is a documentary about industrial design; it's about the manufactured objects we surround ourselves with, and the people who make them. Gary Hustwit, the director of <em>Helvetica</em>, talks with Dieter Rams, Marc Newson, Jonathan Ive, and other renowned designers behind some of the world's most iconic products. lynda.com is proud to offer this film to our members, along with over one hour of online-exclusive bonus movies.",Course,2019-07-04 08:48 UTC,N/A,false,N/A,
Getting Started as a LinkedIn Learning Admin,"Learn how to manage your organization's LinkedIn Learning account as an administrator. LinkedIn Learning staff instructors explain how to navigate the administration homepage and find the features available to you through your organization's LinkedIn Learning account. Find out how to quickly add and edit users, organize learners into groups, assign permissions, and recommend content, including curated learning paths and collections. Plus, learn how to use the reporting features for a visual ""at a glance"" or high-level view of usage.",Course,2025-11-20 07:22 UTC,N/A,false,N/A,
Building Modern Projects with React (2020),"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2021-05-18 06:05 UTC,N/A,false,N/A,
Python Essential Training (2022),"Python is one of the most used dynamic languages for many large organizations, including Google, Yahoo, and IBM. Supported on all major operating systems, it comes pre-installed on Macs, and most Linux and Unix-based systems. In this course, instructor Ryan Mitchell gives you a comprehensive, accessible overview of Python 3. Ryan covers topics required for day-to-day programming in Python, including data types, data structures, operators and statements, control flow, loops, functions, classes, exception handling, and file management. If you’re just starting out on a computer programming journey and want to learn how to write Python programs to accomplish a wide variety of tasks, join Ryan in this course to start building a solid foundation to a Python career.",Course,2022-10-18 06:52 UTC,N/A,false,N/A,
Creating Fun and Engaging Video Training: The How,"You’ve been asked—or told—to make a training video. Now you're wondering: “How am I going to do that?” BBC-trained video journalist Rob Glass answers this very question and leads you through the labyrinth of choices. Rob has made an average of two video features every week for over 15 years, leading him to a unique multilayered understanding of why certain videos work while others don’t. In this course you can explore the mechanics of video-making—filming, interviewing, editing, narration, graphics, and music—while Rob provides tips to make these elements zing, no matter what camera or editing software you're using. You can also step back from all the intricate workings of filmmaking to take a look at the bigger picture and see how to create video that people truly want to watch.",Course,2022-07-25 15:08 UTC,N/A,false,N/A,
Learning Lego Mindstorms,"Love LEGOs? The next generation is ready to play. LEGO Mindstorms is a robotics kit designed for all experimenters—not just kids. Its advanced programming capabilities and robust hardware—sensors, motors, and intelligent EV3 brick—make LEGO Mindstorms a fun and challenging microcomputer system for programmers and tinkerers of any age. In this course, Olivia Chiu helps you ""open the box"" and build your first functional robot with LEGO Mindstorms.<br><br>

Learn how to unpack the hardware, connect to the programming interface, run prebuilt programs, and control the motors and sensors. Chapter 6, ""Adding Flow to a Program,"" covers advanced programming topics such as transferring data between blocks, using variables to store temporary data, programming conditional logic, and looping actions to run again and again. By the end of the course, you'll have the skills to bring your own robotic creations to life.",Course,2018-08-27 06:27 UTC,N/A,false,N/A,
Introduction to CSS (2017),"Once you have learned the basics of HTML, it's time to start exploring Cascading Style Sheets (CSS), the language that makes HTML look great in the browser. This course gives you a tour of the possibilities, showing what CSS is capable of doing and the basics you need to make it work for you. Join Carrie Dils as she explains what CSS is and how it works with HTML, discusses authoring options, and covers common CSS concepts such as the CSS box model and how to work with fonts and color. Plus, she demonstrates how to structure a page with CSS, maintain CSS with version control, work with media queries, and more.",Course,2020-11-20 14:22 UTC,N/A,true,N/A,
Java Object-Oriented Programming,"<p>Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/java-foundations-professional-certificate-by-jetbrains"" target=""_blank"">Professional Certificate</a> from JetBrains.</p>",Course,2022-12-21 06:45 UTC,N/A,true,N/A,
Nano Tips for Managing Gen Z with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for successfully engaging and managing Gen Z employees.</p><p>Learn how to identify and implement authentic diversity practices, communicate the purpose behind work tasks and projects, tailor career development paths, adjust your communication style, leverage microlearning for professional development, and recognize and reward your employees. Along the way, Watchen shows you how to think globally and act locally, as well as create opportunities for mentoring. By the end of this course, you’ll also be prepared to enhance transparency, build your credibility, and prioritize getting to know your employees.</p>",Course,2025-03-29 06:57 UTC,N/A,false,N/A,
Microsoft Azure Security Technology (AZ-500) Cert Prep by Microsoft Press,"<p>The Microsoft Azure Security Technologies (AZ-500) certification showcases your skills as an IT professional and vets your abilities as a Microsoft Azure Security Engineer Associate. In this course, join technical trainer and content developer Tim Warner as he provides an overview of the skills you need to master to tackle the official Microsoft Azure Security Technologies (AZ-500) certification exam. Learn how to manage Microsoft Entra identities, authentication, authorization, and application access, and plan and implement security for virtual networks and private and public access to Azure resources such as compute, storage, Azure SQL Database, Azure SQL Managed Instance, and more. Along the way, get tips on configuring and managing security posture and threat protection using Microsoft Defender for Cloud.</p><p>Note: This course was created by Microsoft Press and Tim Warner. We are pleased to host this training in our library.</p>",Course,2025-11-11 05:57 UTC,N/A,false,N/A,
Creating Inclusive Learning Experiences,"What could your business achieve if your training ignited the potential of every member of your organization, sparking curiosity, learning, and a desire for more professional development? In this course, learning and development expert Naphtali Bryant shows the power of inclusive learning experiences and how they can open the door for people of all identities, backgrounds, and perspectives toward greater achievement and fulfillment. Naphtali centers this around his INCLUDE model, a simple and practical approach to create environments and outcomes all learners can participate in and grow from. If you have a hand in designing your organization’s learning solutions and want to create transformational learning experiences, join Naphtali in this course.",Course,N/A,N/A,true,N/A,
